time , pgn , destination , source , priority , data
,,,,,
12.549579,60928,255,71,6, 4D 74 30 04 00 34 02 20 
12.565051,60928,255,6,6, 4D 74 30 04 00 0E 00 20 
12.580513,60928,255,3,6, 4D 74 30 04 00 03 02 20 
12.595975,60928,255,0,6, 56 F5 29 04 00 00 02 20 
12.611459,61444,255,0,3, F0 FF 00 00 00 FF FF FF 
12.62693,59904,255,0,6, 00 EE 00 
12.642388,61443,255,0,3, FF 00 00 FF 00 FF FF FF 
12.658359,61184,255,0,3, 64 06 00 7D FF FF FF FF 
12.688801,65266,255,0,6, 00 00 FF FF FF FF FF FF 
12.704272,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
12.719745,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
12.735714,61184,255,0,3, 64 06 00 7D FF FF FF FF 
12.750688,61184,6,0,6, 64 0E 03 02 FF FF FF FF 
12.76616,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
12.78163,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
12.797601,61184,255,0,3, 64 06 00 7D FF FF FF FF 
12.812585,61184,255,0,6, 64 10 0B 0B 00 00 00 7D 
12.843527,65247,255,0,6, 7D FC 1C FF FF FF FF FF 
12.859486,60416,255,0,7, 20 22 00 05 FF E3 FE 00 
12.874457,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
12.889928,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
12.905398,61184,255,0,3, 64 06 00 7D FF FF FF FF 
12.936341,65263,255,0,6, FF FF FF FE FF FF FF FA 
12.951812,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.013696,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.029186,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.04514,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.06011,60160,255,0,7, 01 20 1C DD 68 42 DC A0 
13.075595,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.091071,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.107025,65266,255,0,6, 00 00 FF FF FF FF FF FF 
13.13748,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.168908,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.183879,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.199352,61184,6,0,6, 64 0E 0D 02 FF FF FF FF 
13.215326,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.230792,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.245783,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.26125,61184,255,0,6, 64 10 0B 0B 00 00 00 7D 
13.276708,65270,255,0,6, FF 00 4B FF 00 FF FF FF 
13.292697,60160,255,0,7, 02 0F D5 8D 20 E3 7A 31 
13.307651,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.323122,61184,250,0,6, 64 01 FF 00 00 FF FF FF 
13.338592,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.354565,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.369548,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.385008,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.416446,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.431419,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.446878,60160,255,0,7, 03 F1 C0 44 FF FF 04 01 
13.462354,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.479818,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.493295,65266,255,0,6, 00 00 FF FF FF FF FF FF 
13.508763,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.524733,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.540205,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.555183,61184,6,0,6, 64 0E 17 06 FF FF FF FF 
13.571148,126720,6,3,3, 01 01 FF FF FF FF FF F5 
13.586126,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
13.602591,0,0,6,3, 30 FF FF FF F8 FF FF FF 
13.632533,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.648004,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.665971,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.67895,60928,255,0,6, 56 F5 29 04 00 00 02 20 
13.694918,61184,255,0,6, 64 10 0B 0B 00 00 00 7D 
13.710388,60160,255,0,7, 04 20 4E 00 01 FA C9 FA 
13.725859,126720,6,71,3, 01 04 FF FF FF FF FF F1 
13.756307,0,40,124,4, 1E 00 00 00 1E 00 00 00 
13.771774,0,40,104,4, 
13.787744,0,55,180,4, 
13.802717,1280,4,180,0, 
13.818199,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.83367,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
13.84963,61184,255,0,3, 64 06 00 7D FF FF FF FF 
13.864614,65262,255,0,6, 52 43 FF FF FF FF FF FF 
13.880073,126720,6,3,3, 01 01 FF FF FF FF FF F5 
13.895557,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
13.911525,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
13.9265,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
